"wt_full_W6" "wt_full_W9" "regretsIHaveAFewW6" "euRefExpectationW7" "euRefExpectationW8" "econPersonalRetroW8" "euRefTurnoutRetroW9" "euRefVoteW9" "regretsIHaveAFewW9" "ageGroup" "ns_secW1W2W3W4W5" "ns_sec_analyticW1W2W3W4W5" "gender" "gor" "education"
"274" 1.22825674524501 0.8925473430898 0 33 26 NA 1 0 0 6 31 12 1 5 16
"275" NA NA NA NA NA NA NA NA NA 7 32 12 1 4 1
"276" 0.879766946948538 0.657397374734512 0 45 50 3 1 0 0 7 50 20 1 2 18
"277" NA NA NA NA NA NA NA NA NA 7 71 30 1 1 18
"278" 1.20133374792627 1.19883342642735 0 74 68 NA 1 1 0 5 91 40 1 6 18
"279" 0.174253646850423 0.135269193841623 0 61 58 NA 1 1 0 6 91 40 1 5 16
"280" 0.147789912523152 0.117631062854725 0 42 41 3 1 1 0 5 32 12 2 6 11
"281" 1.55853421812526 NA 0 NA NA NA NA NA NA 3 50 20 2 6 16
"282" 2.7444108778229 2.27790569901827 0 58 57 NA 1 1 0 6 111 50 1 3 7
"283" NA 1.01059421096985 NA NA 58 3 1 1 0 7 10 11 1 5 1
"284" 0.75123942825591 0.563439565556003 0 55 NA NA 1 0 0 7 50 20 1 6 5
"285" 0.744996915176348 0.625598339813973 0 54 25 3 1 1 0 4 91 40 1 3 5
"286" 0.438281464219964 NA 0 NA NA NA NA NA NA 5 32 12 1 10 16
"287" 1.34742630261986 1.13232346878148 0 35 30 NA 1 0 0 3 41 20 1 8 17
"288" 0.879941406820461 0.729305140931777 0 51 54 NA 1 0 0 6 50 20 2 6 11
"289" 3.12505560448734 NA 0 NA NA NA NA NA NA 3 71 30 1 3 18
"290" NA NA NA NA NA NA NA NA NA 3 73 30 1 5 17
"291" NA NA NA NA NA NA NA NA NA 7 41 20 2 8 9
"292" NA NA NA NA NA NA NA NA NA 7 60 20 1 3 18
"293" 0.979472242455327 1.20899205930063 0 39 50 3 1 1 0 4 71 30 2 11 10
"294" NA NA NA NA NA NA NA NA NA 7 31 12 2 6 18
"295" 0.314320835858401 0.820378877801329 0 50 51 NA 1 0 0 6 31 12 1 8 17
"296" 0.717639987828781 NA 0 34 NA NA NA NA NA 6 NA 50 2 9 16
"297" 0.846123020830255 0.189128944757034 0 48 67 NA 1 1 0 5 31 12 1 8 9
"298" 0.239925208355185 0.168220522696388 0 48 49 2 1 0 0 7 91 40 1 8 14
"299" 1.10841281711026 NA 0 NA NA NA NA NA NA 5 50 20 1 9 17
"300" 0.982846554145951 1.13978167330069 0 25 44 NA 1 0 0 4 31 12 1 7 16
"301" 0.963298555674438 0.96585367859267 0 27 26 NA 1 0 0 7 41 20 1 11 16
